instance,time,optimum,found,optimizer,backend,shots,optimizer_iteration,p
0,8.288073537999935,1.0,True,cobyla,aer_simulator,,1000,1
0,14.891435726000054,1.0,True,cobyla,aer_simulator,,1000,2
0,9.668525624999802,1.0,True,cobyla,aer_simulator,,1000,1
0,18.748077747000025,1.0,True,nelder_mead,aer_simulator,,1000,1
0,41.925791721999985,1.0,True,spsa,aer_simulator,,1000,1
0,9.426876327999935,1.0,True,cobyla,aer_simulator,,250,1
0,9.082242176999898,1.0,True,cobyla,aer_simulator,,500,1
0,9.453703335,1.0,True,cobyla,aer_simulator,,750,1
0,9.12483672899998,1.0,True,cobyla,aer_simulator,,1000,1
0,3.3253319299999475,2.0,True,cobyla,aer_simulator,200.0,1000,1
0,3.9202097350000713,1.0,True,cobyla,aer_simulator,400.0,1000,1
0,3.8777467649999835,2.0,True,cobyla,aer_simulator,600.0,1000,1
0,4.222625265000033,1.0,True,cobyla,aer_simulator,800.0,1000,1
0,3.9318453939999927,1.0,True,cobyla,aer_simulator,1000.0,1000,1
1,9.231334882000056,1.0,True,cobyla,aer_simulator,,1000,1
1,12.561189652999929,1.0,True,cobyla,aer_simulator,,1000,2
1,9.486003436999908,1.0,True,cobyla,aer_simulator,,1000,1
1,18.738527794999982,1.0,True,nelder_mead,aer_simulator,,1000,1
1,40.61029084000006,1.0,True,spsa,aer_simulator,,1000,1
1,8.476759711000113,1.0,True,cobyla,aer_simulator,,250,1
1,8.928621437999936,1.0,True,cobyla,aer_simulator,,500,1
1,8.706191110999953,2.0,True,cobyla,aer_simulator,,750,1
1,8.90495505900003,1.0,True,cobyla,aer_simulator,,1000,1
1,3.091006331000017,1.0,True,cobyla,aer_simulator,200.0,1000,1
1,3.699072011999988,1.0,True,cobyla,aer_simulator,400.0,1000,1
1,4.314993576999996,2.0,True,cobyla,aer_simulator,600.0,1000,1
1,4.110108484999955,2.0,True,cobyla,aer_simulator,800.0,1000,1
1,4.648719158999938,1.0,True,cobyla,aer_simulator,1000.0,1000,1
2,8.293945960999963,1.0,True,cobyla,aer_simulator,,1000,1
2,13.146133857999985,1.0,True,cobyla,aer_simulator,,1000,2
2,9.755760509999845,1.0,True,cobyla,aer_simulator,,1000,1
2,24.901738814999817,1.0,True,nelder_mead,aer_simulator,,1000,1
2,42.61472793400003,1.0,True,spsa,aer_simulator,,1000,1
2,9.437802281000131,1.0,True,cobyla,aer_simulator,,250,1
2,8.939082974999792,1.0,True,cobyla,aer_simulator,,500,1
2,8.806926922999992,1.0,True,cobyla,aer_simulator,,750,1
2,9.080092379000234,1.0,True,cobyla,aer_simulator,,1000,1
2,3.41339416000028,1.0,True,cobyla,aer_simulator,200.0,1000,1
2,3.6783635009996942,1.0,True,cobyla,aer_simulator,400.0,1000,1
2,4.037290127999768,1.0,True,cobyla,aer_simulator,600.0,1000,1
2,4.099252580000211,1.0,True,cobyla,aer_simulator,800.0,1000,1
2,4.571448082000188,1.0,True,cobyla,aer_simulator,1000.0,1000,1
3,8.6254094359997,1.0,True,cobyla,aer_simulator,,1000,1
3,15.217015876999994,1.0,True,cobyla,aer_simulator,,1000,2
3,8.747667095999986,1.0,True,cobyla,aer_simulator,,1000,1
3,32.89043096000023,1.0,True,nelder_mead,aer_simulator,,1000,1
3,42.204724797999916,1.0,True,spsa,aer_simulator,,1000,1
3,8.986644506000175,1.0,True,cobyla,aer_simulator,,250,1
3,9.002093822000006,1.0,True,cobyla,aer_simulator,,500,1
3,9.091931192000175,1.0,True,cobyla,aer_simulator,,750,1
3,9.32492559000002,1.0,True,cobyla,aer_simulator,,1000,1
3,3.456651184999828,2.0,True,cobyla,aer_simulator,200.0,1000,1
3,3.6022177930003636,2.0,True,cobyla,aer_simulator,400.0,1000,1
3,4.157806992000133,2.0,True,cobyla,aer_simulator,600.0,1000,1
3,4.465519676999975,2.0,True,cobyla,aer_simulator,800.0,1000,1
3,4.171072801000264,1.0,True,cobyla,aer_simulator,1000.0,1000,1
4,9.28155466699991,1.0,True,cobyla,aer_simulator,,1000,1
4,16.17310941400001,1.0,True,cobyla,aer_simulator,,1000,2
4,9.231755928999974,1.0,True,cobyla,aer_simulator,,1000,1
4,20.663013300999864,1.0,True,nelder_mead,aer_simulator,,1000,1
4,41.88125670799991,1.0,True,spsa,aer_simulator,,1000,1
4,9.628313284000342,1.0,True,cobyla,aer_simulator,,250,1
4,9.151311364999856,1.0,True,cobyla,aer_simulator,,500,1
4,8.285507094999957,1.0,True,cobyla,aer_simulator,,750,1
4,9.10022243100002,1.0,True,cobyla,aer_simulator,,1000,1
4,3.1906947440002114,1.0,True,cobyla,aer_simulator,200.0,1000,1
4,3.713186031999612,1.0,True,cobyla,aer_simulator,400.0,1000,1
4,3.817971565999869,1.0,True,cobyla,aer_simulator,600.0,1000,1
4,3.9738432220001414,1.0,True,cobyla,aer_simulator,800.0,1000,1
4,4.5222678760001145,1.0,True,cobyla,aer_simulator,1000.0,1000,1
5,8.7381301610003,1.0,True,cobyla,aer_simulator,,1000,1
5,14.254279692000182,1.0,True,cobyla,aer_simulator,,1000,2
5,8.822999591000098,1.0,True,cobyla,aer_simulator,,1000,1
5,21.910277928999676,1.0,True,nelder_mead,aer_simulator,,1000,1
5,42.32446524900024,1.0,True,spsa,aer_simulator,,1000,1
5,9.35851777400012,1.0,True,cobyla,aer_simulator,,250,1
5,8.839205919000051,1.0,True,cobyla,aer_simulator,,500,1
5,9.056743521000044,1.0,True,cobyla,aer_simulator,,750,1
5,9.045984161999968,1.0,True,cobyla,aer_simulator,,1000,1
5,3.013166303000162,2.0,True,cobyla,aer_simulator,200.0,1000,1
5,3.8232288290000724,2.0,True,cobyla,aer_simulator,400.0,1000,1
5,3.709926746000292,1.0,True,cobyla,aer_simulator,600.0,1000,1
5,4.223905795000064,1.0,True,cobyla,aer_simulator,800.0,1000,1
5,4.350768477999736,1.0,True,cobyla,aer_simulator,1000.0,1000,1
6,8.666510177999953,1.0,True,cobyla,aer_simulator,,1000,1
6,14.90724922299978,1.0,True,cobyla,aer_simulator,,1000,2
6,8.62601327199991,1.0,True,cobyla,aer_simulator,,1000,1
6,17.25128034399995,1.0,True,nelder_mead,aer_simulator,,1000,1
6,41.3549169339999,1.0,True,spsa,aer_simulator,,1000,1
6,11.697067986000093,1.0,True,cobyla,aer_simulator,,250,1
6,9.629224086999784,1.0,True,cobyla,aer_simulator,,500,1
6,8.975263029999951,1.0,True,cobyla,aer_simulator,,750,1
6,9.983659449999777,1.0,True,cobyla,aer_simulator,,1000,1
6,3.3778648060001615,3.0,True,cobyla,aer_simulator,200.0,1000,1
6,3.769890764000138,1.0,True,cobyla,aer_simulator,400.0,1000,1
6,3.7836011119998147,1.0,True,cobyla,aer_simulator,600.0,1000,1
6,4.024382845000218,1.0,True,cobyla,aer_simulator,800.0,1000,1
6,4.137373187000321,1.0,True,cobyla,aer_simulator,1000.0,1000,1
7,811.9515759180003,2.0,True,cobyla,aer_simulator,,1000,1
7,1339.9964884500005,2.0,True,cobyla,aer_simulator,,1000,2
7,765.5638112469987,2.0,True,cobyla,aer_simulator,,1000,1
8,434.635795692,2.0,True,cobyla,aer_simulator,,1000,1
8,485.18811304099995,2.0,True,cobyla,aer_simulator,,1000,2
8,413.83488315199975,2.0,True,cobyla,aer_simulator,,1000,1
8,1489.9267008020006,2.0,True,nelder_mead,aer_simulator,,1000,1
8,2567.213836294999,2.0,True,spsa,aer_simulator,,1000,1
8,442.459392013001,2.0,True,cobyla,aer_simulator,,250,1
8,440.9172872449999,2.0,True,cobyla,aer_simulator,,500,1
8,471.36880743599977,2.0,True,cobyla,aer_simulator,,750,1
8,434.24098698499984,2.0,True,cobyla,aer_simulator,,1000,1
8,158.10336520700002,15.0,True,cobyla,aer_simulator,200.0,1000,1
8,197.44058067199876,19.0,True,cobyla,aer_simulator,400.0,1000,1
8,207.43363226400106,12.0,True,cobyla,aer_simulator,600.0,1000,1
8,174.35623864399895,7.0,True,cobyla,aer_simulator,800.0,1000,1
9,174.94165397799998,2.0,True,cobyla,aer_simulator,,1000,1
9,259.7369688279998,2.0,True,cobyla,aer_simulator,,1000,2
9,214.02555512999993,2.0,True,cobyla,aer_simulator,,1000,1
9,528.6831519530001,2.0,True,nelder_mead,aer_simulator,,1000,1
9,980.5680452450006,2.0,True,spsa,aer_simulator,,1000,1
9,182.84016189499926,2.0,True,cobyla,aer_simulator,,250,1
9,184.19684157099982,2.0,True,cobyla,aer_simulator,,500,1
9,189.448012543,2.0,True,cobyla,aer_simulator,,750,1
9,187.91413377199933,2.0,True,cobyla,aer_simulator,,1000,1
9,63.145345103999716,10.0,True,cobyla,aer_simulator,200.0,1000,1
9,64.7316568440001,27.0,True,cobyla,aer_simulator,400.0,1000,1
9,67.33183498000017,12.0,True,cobyla,aer_simulator,600.0,1000,1
9,73.00916705899999,31.0,True,cobyla,aer_simulator,800.0,1000,1
9,71.69523763500001,11.0,True,cobyla,aer_simulator,1000.0,1000,1
10,411.307219626,2.0,True,cobyla,aer_simulator,,1000,1
10,526.9771632379998,2.0,True,cobyla,aer_simulator,,1000,2
10,353.19336366800053,2.0,True,cobyla,aer_simulator,,1000,1
10,1144.9707033989998,2.0,True,nelder_mead,aer_simulator,,1000,1
10,2016.647138954002,2.0,True,spsa,aer_simulator,,1000,1
10,388.5982605880017,2.0,True,cobyla,aer_simulator,,250,1
10,353.89210642700345,3.0,True,cobyla,aer_simulator,,500,1
10,332.4916607879968,2.0,True,cobyla,aer_simulator,,750,1
10,362.48823341299794,2.0,True,cobyla,aer_simulator,,1000,1
10,128.15006077299768,85.0,True,cobyla,aer_simulator,200.0,1000,1
10,164.29426926900123,3.0,True,cobyla,aer_simulator,400.0,1000,1
10,139.4921563579992,8.0,True,cobyla,aer_simulator,600.0,1000,1
10,161.46406276500056,17.0,True,cobyla,aer_simulator,800.0,1000,1
10,165.14825231499708,7.0,True,cobyla,aer_simulator,1000.0,1000,1
11,913.7489809390001,2.0,True,cobyla,aer_simulator,,1000,1
11,1443.9742988870003,2.0,True,cobyla,aer_simulator,,1000,2
11,931.0455747440001,2.0,True,cobyla,aer_simulator,,1000,1